epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1.71786E+12,2024-06-08T18.04.30.814,1.925,16.829,4.329,-12.683
1.71786E+12,2024-06-08T18.04.30.822,1.933,5.488,5.122,-6.341
1.71786E+12,2024-06-08T18.04.30.833,1.944,-5.122,3.049,0.732
1.71786E+12,2024-06-08T18.04.30.843,1.954,-16.098,-0.549,7.5
1.71786E+12,2024-06-08T18.04.30.853,1.964,-28.171,-3.72,14.878
1.71786E+12,2024-06-08T18.04.30.862,1.973,-39.146,-4.573,22.378
1.71786E+12,2024-06-08T18.04.30.872,1.983,-47.927,-2.256,29.817
1.71786E+12,2024-06-08T18.04.30.882,1.993,-55.427,3.415,37.805
1.71786E+12,2024-06-08T18.04.30.893,2.004,-63.537,10.732,44.695
1.71786E+12,2024-06-08T18.04.30.902,2.013,-71.22,16.341,50.976
1.71786E+12,2024-06-08T18.04.30.912,2.023,-75.854,18.78,57.012
1.71786E+12,2024-06-08T18.04.30.922,2.033,-79.268,16.341,62.927
1.71786E+12,2024-06-08T18.04.30.932,2.043,-81.951,9.451,69.085
1.71786E+12,2024-06-08T18.04.30.941,2.052,-84.207,2.5,75.061
1.71786E+12,2024-06-08T18.04.30.951,2.062,-88.963,-2.5,79.878
1.71786E+12,2024-06-08T18.04.30.962,2.073,-96.341,-4.939,84.512
1.71786E+12,2024-06-08T18.04.30.970,2.081,-100.61,-0.122,90
1.71786E+12,2024-06-08T18.04.30.981,2.092,-106.646,9.634,93.902
1.71786E+12,2024-06-08T18.04.30.991,2.102,-112.439,18.293,97.256
1.71786E+12,2024-06-08T18.04.31.001,2.112,-112.5,21.402,99.451
1.71786E+12,2024-06-08T18.04.31.010,2.121,-107.744,16.524,101.768
1.71786E+12,2024-06-08T18.04.31.020,2.131,-104.451,5.549,105.61
1.71786E+12,2024-06-08T18.04.31.030,2.141,-106.585,-10.61,110.732
1.71786E+12,2024-06-08T18.04.31.041,2.152,-107.988,-21.89,116.341
1.71786E+12,2024-06-08T18.04.31.049,2.16,-112.927,-19.695,118.354
1.71786E+12,2024-06-08T18.04.31.060,2.171,-126.768,-9.512,120.366
1.71786E+12,2024-06-08T18.04.31.070,2.181,-134.512,8.537,123.659
1.71786E+12,2024-06-08T18.04.31.080,2.191,-134.756,27.927,123.232
1.71786E+12,2024-06-08T18.04.31.089,2.2,-128.659,42.378,121.341
1.71786E+12,2024-06-08T18.04.31.099,2.21,-122.317,49.085,118.78
1.71786E+12,2024-06-08T18.04.31.110,2.221,-117.683,47.805,118.963
1.71786E+12,2024-06-08T18.04.31.120,2.231,-116.037,37.683,123.72
1.71786E+12,2024-06-08T18.04.31.129,2.24,-118.659,22.134,129.39
1.71786E+12,2024-06-08T18.04.31.139,2.25,-123.659,5.549,132.683
1.71786E+12,2024-06-08T18.04.31.149,2.26,-131.646,-7.866,134.695
1.71786E+12,2024-06-08T18.04.31.158,2.269,-140.183,-16.402,138.293
1.71786E+12,2024-06-08T18.04.31.168,2.279,-141.89,-18.476,140.854
1.71786E+12,2024-06-08T18.04.31.178,2.289,-142.195,-15.244,140.122
1.71786E+12,2024-06-08T18.04.31.189,2.3,-141.829,-9.451,141.89
1.71786E+12,2024-06-08T18.04.31.197,2.308,-138.78,-3.354,146.22
1.71786E+12,2024-06-08T18.04.31.208,2.319,-136.341,2.683,150.122
1.71786E+12,2024-06-08T18.04.31.218,2.329,-137.012,8.11,154.451
1.71786E+12,2024-06-08T18.04.31.228,2.339,-138.171,14.695,159.085
1.71786E+12,2024-06-08T18.04.31.237,2.348,-139.634,26.89,160.976
1.71786E+12,2024-06-08T18.04.31.247,2.358,-146.585,37.622,163.049
1.71786E+12,2024-06-08T18.04.31.257,2.368,-156.463,36.22,167.561
1.71786E+12,2024-06-08T18.04.31.268,2.379,-161.646,28.293,168.354
1.71786E+12,2024-06-08T18.04.31.277,2.388,-161.037,24.085,162.561
1.71786E+12,2024-06-08T18.04.31.287,2.398,-156.524,26.037,155.061
1.71786E+12,2024-06-08T18.04.31.297,2.408,-149.024,35.732,145.732
1.71786E+12,2024-06-08T18.04.31.307,2.418,-141.402,48.537,138.902
1.71786E+12,2024-06-08T18.04.31.316,2.427,-138.415,55.915,138.537
1.71786E+12,2024-06-08T18.04.31.326,2.437,-136.524,56.524,139.451
1.71786E+12,2024-06-08T18.04.31.337,2.448,-132.683,53.476,136.159
1.71786E+12,2024-06-08T18.04.31.347,2.458,-131.585,46.89,137.988
1.71786E+12,2024-06-08T18.04.31.356,2.467,-135.61,35,147.683
1.71786E+12,2024-06-08T18.04.31.366,2.477,-145.244,16.28,153.78
1.71786E+12,2024-06-08T18.04.31.376,2.487,-151.951,-3.78,152.744
1.71786E+12,2024-06-08T18.04.31.386,2.497,-145.061,-19.39,145.732
1.71786E+12,2024-06-08T18.04.31.395,2.506,-132.561,-27.805,136.951
1.71786E+12,2024-06-08T18.04.31.405,2.516,-127.378,-31.951,133.841
1.71786E+12,2024-06-08T18.04.31.416,2.527,-127.195,-36.28,136.402
1.71786E+12,2024-06-08T18.04.31.424,2.535,-127.805,-41.098,140.305
1.71786E+12,2024-06-08T18.04.31.435,2.546,-128.72,-45.488,143.598
1.71786E+12,2024-06-08T18.04.31.445,2.556,-129.756,-52.561,145.915
1.71786E+12,2024-06-08T18.04.31.455,2.566,-129.634,-62.134,147.683
1.71786E+12,2024-06-08T18.04.31.464,2.575,-129.512,-69.756,149.085
1.71786E+12,2024-06-08T18.04.31.474,2.585,-131.89,-73.841,150.366
1.71786E+12,2024-06-08T18.04.31.485,2.596,-134.634,-72.988,150.366
1.71786E+12,2024-06-08T18.04.31.495,2.606,-136.28,-69.451,148.11
1.71786E+12,2024-06-08T18.04.31.504,2.615,-137.256,-67.073,142.927
1.71786E+12,2024-06-08T18.04.31.514,2.625,-137.561,-65.305,136.037
1.71786E+12,2024-06-08T18.04.31.524,2.635,-134.695,-64.573,130.305
1.71786E+12,2024-06-08T18.04.31.534,2.645,-125.854,-63.902,126.037
1.71786E+12,2024-06-08T18.04.31.543,2.654,-113.354,-61.22,122.439
1.71786E+12,2024-06-08T18.04.31.553,2.664,-102.683,-55.427,120.366
1.71786E+12,2024-06-08T18.04.31.564,2.675,-97.622,-48.354,119.146
1.71786E+12,2024-06-08T18.04.31.574,2.685,-97.134,-42.927,116.768
1.71786E+12,2024-06-08T18.04.31.583,2.694,-97.317,-39.817,112.622
1.71786E+12,2024-06-08T18.04.31.593,2.704,-95.122,-38.902,107.378
1.71786E+12,2024-06-08T18.04.31.603,2.714,-89.634,-37.622,101.402
1.71786E+12,2024-06-08T18.04.31.613,2.724,-83.963,-35.305,94.634
1.71786E+12,2024-06-08T18.04.31.622,2.733,-79.451,-31.037,87.744
1.71786E+12,2024-06-08T18.04.31.632,2.743,-74.817,-25.915,80.488
1.71786E+12,2024-06-08T18.04.31.643,2.754,-69.268,-20,73.11
1.71786E+12,2024-06-08T18.04.31.652,2.763,-63.659,-14.39,66.22
1.71786E+12,2024-06-08T18.04.31.662,2.773,-58.049,-10.549,59.878
1.71786E+12,2024-06-08T18.04.31.672,2.783,-52.317,-8.476,53.841
1.71786E+12,2024-06-08T18.04.31.682,2.793,-46.463,-7.744,47.988
1.71786E+12,2024-06-08T18.04.31.691,2.802,-40.427,-7.317,41.159
