epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1715008587302,2024-05-06T18.16.27.302,1.096,-66.524,71.429,124.874
1715008587312,2024-05-06T18.16.27.312,1.106,-101.105,88.868,124.874
1715008587321,2024-05-06T18.16.27.321,1.115,-98.144,74.459,124.874
1715008587331,2024-05-06T18.16.27.331,1.125,-77.264,31.818,124.874
1715008587341,2024-05-06T18.16.27.341,1.135,-25.423,-4.787,124.310
1715008587350,2024-05-06T18.16.27.350,1.144,-16.494,29.405,120.785
1715008587360,2024-05-06T18.16.27.360,1.154,-31.235,5.823,124.223
1715008587371,2024-05-06T18.16.27.371,1.165,-34.398,3.418,119.047
1715008587381,2024-05-06T18.16.27.381,1.175,-52.325,-0.621,116.475
1715008587390,2024-05-06T18.16.27.390,1.184,-65.846,-8.563,123.060
1715008587400,2024-05-06T18.16.27.400,1.194,-79.909,-16.448,124.729
1715008587410,2024-05-06T18.16.27.410,1.204,-110.404,-32.934,100.938
1715008587420,2024-05-06T18.16.27.420,1.214,-124.874,-55.030,75.850
1715008587429,2024-05-06T18.16.27.429,1.223,-124.874,-60.335,62.538
1715008587439,2024-05-06T18.16.27.439,1.233,-113.853,-57.569,43.598
1715008587450,2024-05-06T18.16.27.450,1.244,-95.869,-61.322,28.994
1715008587460,2024-05-06T18.16.27.460,1.254,-82.389,-69.120,17.176
1715008587469,2024-05-06T18.16.27.469,1.263,-69.840,-79.131,8.022
1715008587479,2024-05-06T18.16.27.479,1.273,-49.844,-86.959,5.480
1715008587489,2024-05-06T18.16.27.489,1.283,-28.274,-93.918,12.873
1715008587499,2024-05-06T18.16.27.499,1.293,-45.278,-113.232,8.659
1715008587508,2024-05-06T18.16.27.508,1.302,-87.919,-124.874,-9.832
1715008587518,2024-05-06T18.16.27.518,1.312,-95.312,-121.551,-1.620
1715008587529,2024-05-06T18.16.27.529,1.323,-69.775,-103.098,13.765
1715008587539,2024-05-06T18.16.27.539,1.333,-40.534,-64.539,15.991
1715008587548,2024-05-06T18.16.27.548,1.342,-33.445,-38.110,16.562
1715008587558,2024-05-06T18.16.27.558,1.352,-36.829,-33.243,12.283
1715008587568,2024-05-06T18.16.27.568,1.362,-49.905,-42.812,8.350
1715008587577,2024-05-06T18.16.27.577,1.371,-57.218,-60.152,-1.162
1715008587587,2024-05-06T18.16.27.587,1.381,-59.939,-76.166,-9.592
1715008587598,2024-05-06T18.16.27.598,1.392,-67.950,-89.264,-14.844
1715008587608,2024-05-06T18.16.27.608,1.402,-81.852,-106.082,-17.450
1715008587617,2024-05-06T18.16.27.617,1.411,-92.351,-109.771,-22.348
1715008587627,2024-05-06T18.16.27.627,1.421,-90.983,-86.246,-25.438
1715008587637,2024-05-06T18.16.27.637,1.431,-96.269,-74.264,-13.674
1715008587647,2024-05-06T18.16.27.647,1.441,-101.814,-56.261,0.972
1715008587656,2024-05-06T18.16.27.656,1.450,-110.492,-52.740,7.538
1715008587666,2024-05-06T18.16.27.666,1.460,-120.244,-52.027,9.341
1715008587677,2024-05-06T18.16.27.677,1.471,-124.874,-52.374,14.779
1715008587687,2024-05-06T18.16.27.687,1.481,-124.874,-61.383,19.741
1715008587696,2024-05-06T18.16.27.696,1.490,-124.798,-62.744,17.043
1715008587706,2024-05-06T18.16.27.706,1.500,-124.874,-57.740,19.440
1715008587716,2024-05-06T18.16.27.716,1.510,-124.874,-50.896,16.886
1715008587726,2024-05-06T18.16.27.726,1.520,-123.426,-45.823,10.819
1715008587735,2024-05-06T18.16.27.735,1.529,-115.835,-40.659,0.606
1715008587746,2024-05-06T18.16.27.746,1.540,-107.771,-41.997,-2.332
1715008587756,2024-05-06T18.16.27.756,1.550,-99.520,-37.820,-2.279
1715008587766,2024-05-06T18.16.27.766,1.560,-97.793,-26.441,0.617
1715008587775,2024-05-06T18.16.27.775,1.569,-105.366,-15.320,7.649
1715008587785,2024-05-06T18.16.27.785,1.579,-115.530,-10.732,14.928
1715008587795,2024-05-06T18.16.27.795,1.589,-122.694,-11.006,24.478
1715008587804,2024-05-06T18.16.27.804,1.598,-121.303,-14.611,28.601
1715008587814,2024-05-06T18.16.27.814,1.608,-114.364,-11.825,26.673
1715008587825,2024-05-06T18.16.27.825,1.619,-107.302,-10.709,20.758
1715008587835,2024-05-06T18.16.27.835,1.629,-94.577,-7.965,4.840
1715008587844,2024-05-06T18.16.27.844,1.638,-80.572,-7.081,-12.271
1715008587854,2024-05-06T18.16.27.854,1.648,-67.500,-8.590,-28.628
1715008587864,2024-05-06T18.16.27.864,1.658,-53.121,-12.713,-44.444
1715008587874,2024-05-06T18.16.27.874,1.668,-42.066,-22.450,-66.162
1715008587883,2024-05-06T18.16.27.883,1.677,-25.065,-33.582,-96.570
1715008587893,2024-05-06T18.16.27.893,1.687,-0.869,-51.715,-124.874
1715008587904,2024-05-06T18.16.27.904,1.698,23.674,-65.957,-124.874
1715008587914,2024-05-06T18.16.27.914,1.708,49.836,-70.621,-124.417
1715008587923,2024-05-06T18.16.27.923,1.717,73.948,-73.700,-124.836
1715008587933,2024-05-06T18.16.27.933,1.727,91.147,-74.977,-124.874
1715008587943,2024-05-06T18.16.27.943,1.737,104.261,-81.280,-124.870
1715008587954,2024-05-06T18.16.27.954,1.748,118.662,-93.373,-124.874
1715008587962,2024-05-06T18.16.27.962,1.756,124.874,-111.018,-124.874
1715008587973,2024-05-06T18.16.27.973,1.767,124.874,-124.874,-124.874
1715008587983,2024-05-06T18.16.27.983,1.777,124.714,-124.874,-124.874
1715008587993,2024-05-06T18.16.27.993,1.787,124.874,-124.592,-124.874
1715008588002,2024-05-06T18.16.28.002,1.796,124.623,-124.874,-124.874
1715008588012,2024-05-06T18.16.28.012,1.806,118.876,-124.192,-124.874
1715008588022,2024-05-06T18.16.28.022,1.816,97.439,-110.118,-124.874
1715008588031,2024-05-06T18.16.28.031,1.825,-69.253,-99.535,-124.874
1715008588041,2024-05-06T18.16.28.041,1.835,-124.874,29.619,-112.473
1715008588052,2024-05-06T18.16.28.052,1.846,-124.123,112.191,-88.213
1715008588062,2024-05-06T18.16.28.062,1.856,-123.247,-1.582,-87.127
1715008588071,2024-05-06T18.16.28.071,1.865,-124.874,-21.319,-4.474
1715008588081,2024-05-06T18.16.28.081,1.875,-124.874,31.780,93.761
1715008588091,2024-05-06T18.16.28.091,1.885,-124.836,47.984,124.874
1715008588101,2024-05-06T18.16.28.101,1.895,-124.874,-29.943,124.874
1715008588110,2024-05-06T18.16.28.110,1.904,-115.598,-3.205,124.158
1715008588121,2024-05-06T18.16.28.121,1.915,-82.812,79.123,124.874
