x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.361,0.594,-0.482,-22.988,-69.268,-20.61
-0.391,0.564,-0.486,-24.512,-63.902,-18.659
-0.435,0.581,-0.481,-26.768,-55.793,-17.378
-0.365,0.608,-0.462,-25.793,-46.707,-21.341
-0.376,0.591,-0.453,-23.049,-42.561,-26.341
-0.421,0.63,-0.455,-21.707,-39.39,-29.756
-0.388,0.681,-0.439,-19.207,-33.049,-34.573
-0.366,0.696,-0.419,-16.646,-21.524,-37.744
-0.345,0.699,-0.413,-14.024,-9.268,-39.268
-0.374,0.701,-0.417,-13.659,1.22,-38.171
-0.371,0.736,-0.433,-14.268,7.744,-35.427
-0.382,0.734,-0.441,-14.756,4.756,-31.524
-0.444,0.712,-0.44,-17.195,-3.598,-24.878
-0.454,0.716,-0.433,-20.0,-15.183,-17.866
-0.433,0.734,-0.436,-23.415,-27.805,-11.098
-0.408,0.757,-0.424,-26.585,-39.878,-5.549
-0.422,0.739,-0.42,-29.512,-47.744,-0.61
-0.396,0.707,-0.395,-29.573,-47.988,3.841
-0.357,0.679,-0.364,-26.159,-41.707,7.439
-0.325,0.686,-0.354,-22.012,-32.012,10.366
-0.303,0.689,-0.364,-16.524,-21.22,13.659
-0.298,0.71,-0.384,-10.976,-13.171,17.866
-0.303,0.752,-0.381,-7.683,-10.122,21.89
-0.314,0.774,-0.359,-6.646,-10.427,25.366
-0.312,0.764,-0.351,-6.463,-13.293,28.659
-0.315,0.76,-0.358,-7.5,-19.024,32.805
-0.312,0.757,-0.374,-9.573,-23.963,36.707
-0.293,0.758,-0.396,-10.488,-25.122,40.305
-0.291,0.776,-0.421,-11.159,-24.512,43.537
-0.31,0.785,-0.418,-12.317,-23.171,46.463
-0.302,0.793,-0.407,-13.659,-22.561,47.195
-0.289,0.799,-0.386,-15.122,-21.159,47.866
-0.268,0.765,-0.355,-15.061,-18.11,48.963
-0.258,0.719,-0.349,-14.695,-14.39,49.695
-0.239,0.71,-0.36,-14.512,-10.915,50.854
-0.227,0.678,-0.37,-13.78,-7.256,53.171
-0.25,0.607,-0.374,-10.732,-1.28,57.134
-0.246,0.63,-0.378,-8.049,5.61,60.671
-0.247,0.678,-0.365,-7.256,9.878,63.537
-0.283,0.635,-0.329,-6.951,12.256,66.402
-0.279,0.578,-0.273,-6.707,16.646,68.476
-0.259,0.498,-0.235,-4.817,21.951,70.427
-0.275,0.422,-0.219,-1.585,26.524,73.537
-0.267,0.383,-0.205,2.439,31.951,76.28
-0.263,0.373,-0.239,9.634,38.232,78.415
-0.281,0.499,-0.275,14.329,41.037,79.512
-0.311,0.601,-0.255,13.11,42.683,77.378
-0.308,0.563,-0.224,11.768,49.634,75.061
-0.255,0.503,-0.212,11.951,62.195,71.829
-0.221,0.432,-0.213,11.037,78.232,68.049
-0.223,0.358,-0.251,11.463,95.488,67.256
