x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.518,-0.771,0.846,-126.159,9.146,17.317
-0.464,-0.838,0.824,-118.354,12.744,18.293
-0.368,-0.846,0.821,-115.061,22.5,18.415
-0.331,-0.768,0.795,-117.378,33.415,15.305
-0.343,-0.703,0.807,-119.817,41.28,13.963
-0.385,-0.727,0.809,-121.28,44.085,15.0
-0.446,-0.802,0.807,-120.488,41.585,15.366
-0.505,-0.868,0.782,-118.293,33.78,16.159
-0.547,-0.897,0.753,-117.012,25.793,16.89
-0.548,-0.895,0.767,-115.976,20.671,16.89
-0.513,-0.879,0.758,-113.659,18.963,15.61
-0.469,-0.864,0.741,-110.549,20.549,14.695
-0.441,-0.838,0.727,-110.122,24.085,14.024
-0.436,-0.815,0.726,-111.037,28.659,13.11
-0.454,-0.847,0.742,-108.902,32.927,13.293
-0.475,-0.918,0.722,-104.512,35.244,15.732
-0.495,-0.953,0.697,-101.89,35.793,17.866
-0.52,-0.936,0.683,-101.524,35.0,18.11
-0.523,-0.901,0.654,-101.098,33.78,18.293
-0.519,-0.887,0.639,-100.854,31.707,19.085
-0.51,-0.877,0.615,-101.341,28.232,18.963
-0.509,-0.865,0.598,-101.768,24.39,18.232
-0.515,-0.866,0.604,-101.463,22.195,18.171
-0.516,-0.896,0.608,-99.268,22.073,18.11
-0.504,-0.943,0.6,-95.305,24.817,17.805
-0.486,-0.983,0.597,-90.549,27.988,19.268
-0.479,-0.997,0.596,-87.256,30.549,20.793
-0.481,-0.973,0.586,-85.244,31.585,21.463
-0.478,-0.938,0.574,-83.659,31.22,22.378
-0.477,-0.914,0.563,-82.561,29.268,22.927
-0.483,-0.906,0.556,-81.829,24.878,22.317
-0.488,-0.893,0.541,-81.28,18.049,21.524
-0.5,-0.88,0.522,-80.915,9.695,20.671
-0.521,-0.877,0.516,-80.732,0.549,19.39
-0.531,-0.884,0.509,-79.695,-8.476,18.659
-0.534,-0.899,0.497,-78.354,-16.098,19.146
-0.535,-0.907,0.486,-77.744,-19.878,19.878
-0.524,-0.906,0.501,-75.915,-20.366,20.976
-0.506,-0.927,0.504,-71.402,-19.146,21.707
-0.485,-0.958,0.494,-65.61,-16.89,23.293
-0.468,-0.962,0.488,-61.524,-13.11,24.39
-0.439,-0.938,0.49,-58.659,-9.695,23.415
-0.423,-0.918,0.491,-55.671,-8.537,21.707
-0.425,-0.915,0.49,-52.744,-8.78,20.366
-0.421,-0.907,0.484,-50.549,-9.939,18.537
-0.417,-0.884,0.483,-49.756,-12.073,15.976
-0.429,-0.86,0.487,-48.78,-13.963,13.659
-0.438,-0.86,0.491,-45.61,-15.854,12.195
-0.445,-0.884,0.481,-41.159,-17.012,11.28
-0.438,-0.901,0.464,-36.951,-15.976,10.549
-0.43,-0.891,0.452,-33.902,-13.476,9.878
-0.434,-0.878,0.444,-30.793,-11.098,8.354
-0.443,-0.88,0.438,-26.768,-10.366,7.134
-0.46,-0.89,0.425,-23.171,-10.732,6.585
-0.479,-0.889,0.416,-20.488,-11.585,6.037
-0.491,-0.877,0.407,-18.293,-12.744,4.939
-0.505,-0.869,0.396,-15.976,-14.573,3.902
-0.517,-0.867,0.384,-13.476,-17.012,3.72
-0.53,-0.865,0.363,-10.976,-18.537,3.11
-0.536,-0.862,0.341,-8.659,-18.537,2.195
-0.533,-0.854,0.328,-6.768,-16.951,1.585
-0.528,-0.848,0.312,-5.122,-14.573,1.341
-0.525,-0.854,0.293,-3.415,-11.89,0.793
-0.536,-0.86,0.276,-1.402,-10.183,0.305
-0.544,-0.858,0.26,0.427,-8.78,0.488
-0.551,-0.85,0.252,1.646,-6.646,0.854
-0.55,-0.84,0.24,2.988,-4.146,1.037
-0.545,-0.835,0.225,4.207,-1.646,1.037
-0.546,-0.831,0.21,5.488,0.854,1.22
-0.548,-0.825,0.197,6.585,3.293,1.524
-0.547,-0.817,0.189,7.378,5.671,1.768
-0.544,-0.81,0.184,7.622,7.439,1.89
-0.543,-0.802,0.175,7.744,8.11,1.768
-0.552,-0.797,0.165,7.439,7.378,1.341
-0.558,-0.792,0.152,6.951,5.305,0.976
-0.564,-0.788,0.144,5.732,2.439,0.793
-0.568,-0.78,0.145,4.512,-0.549,0.366
-0.569,-0.775,0.142,3.354,-2.927,-0.549
-0.567,-0.777,0.139,2.683,-4.512,-1.402
-0.565,-0.778,0.144,1.89,-5.122,-1.646
-0.557,-0.782,0.147,1.037,-4.512,-1.524
-0.549,-0.787,0.153,0.671,-3.598,-1.707
-0.548,-0.787,0.154,0.671,-2.744,-1.341
-0.551,-0.794,0.157,1.037,-1.89,-0.854
-0.551,-0.796,0.155,0.976,-1.037,-0.366
-0.554,-0.795,0.157,0.549,-0.488,-0.061
-0.553,-0.803,0.161,0.427,-0.366,0.061
-0.556,-0.815,0.16,0.488,-0.915,0.244
-0.556,-0.82,0.159,0.244,-1.28,0.488
-0.556,-0.819,0.161,-0.366,-1.829,0.366
-0.556,-0.818,0.165,-0.793,-2.073,0.244
-0.55,-0.821,0.167,-1.037,-2.012,0.427
-0.542,-0.817,0.168,-0.976,-2.073,0.488
-0.542,-0.812,0.167,-1.098,-2.195,0.366
-0.542,-0.814,0.17,-1.28,-1.829,0.244
-0.537,-0.816,0.178,-1.524,-1.829,-0.061
-0.531,-0.816,0.18,-1.463,-2.866,-0.305
-0.541,-0.813,0.181,-1.159,-3.78,-0.793
-0.543,-0.819,0.178,-1.037,-3.293,-1.159
-0.533,-0.824,0.189,-0.915,-2.683,-1.22
-0.526,-0.821,0.192,-0.854,-2.439,-1.22
-0.532,-0.823,0.191,-0.61,-2.073,-1.22
-0.534,-0.828,0.193,-0.122,-1.402,-1.341
-0.528,-0.826,0.195,0.244,-0.732,-1.28
-0.532,-0.826,0.193,0.671,-0.549,-1.341
-0.536,-0.823,0.191,1.037,-0.366,-1.524
-0.536,-0.822,0.192,1.341,-0.366,-1.829
-0.533,-0.824,0.194,1.707,-0.549,-1.829
-0.534,-0.819,0.195,1.768,-0.976,-2.134
-0.538,-0.815,0.194,1.402,-1.22,-2.622
-0.539,-0.814,0.195,1.037,-1.402,-2.866
-0.535,-0.814,0.197,0.854,-1.646,-3.171
-0.537,-0.81,0.196,0.915,-1.89,-3.11
-0.538,-0.81,0.195,0.976,-1.524,-3.293
-0.537,-0.811,0.196,0.793,-1.402,-3.537
-0.537,-0.81,0.197,0.671,-1.768,-3.72
-0.542,-0.812,0.199,0.793,-2.805,-3.963
-0.545,-0.811,0.198,0.793,-3.415,-3.902
-0.551,-0.808,0.199,0.793,-3.354,-4.024
-0.545,-0.804,0.203,0.671,-2.683,-4.146
-0.54,-0.802,0.203,0.854,-2.317,-3.659
-0.542,-0.8,0.203,0.915,-2.561,-3.537
-0.547,-0.797,0.202,0.976,-2.622,-3.72
-0.549,-0.798,0.201,1.159,-2.683,-3.841
-0.544,-0.8,0.197,1.341,-2.927,-3.659
-0.545,-0.801,0.196,1.402,-2.927,-3.72
-0.55,-0.8,0.197,1.402,-2.744,-3.537
-0.547,-0.804,0.191,1.463,-2.622,-3.537
-0.552,-0.809,0.191,1.585,-3.049,-3.537
-0.557,-0.809,0.189,1.524,-3.476,-3.11
-0.561,-0.812,0.184,1.829,-3.659,-2.866
