epoc (ms),timestamp (+0300),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1718718425746,2024-06-18T16.47.05.746,2.192,158.476,-103.171,-84.817
1718718425755,2024-06-18T16.47.05.755,2.201,155.000,-97.439,-84.268
1718718425765,2024-06-18T16.47.05.765,2.211,151.951,-91.341,-82.988
1718718425776,2024-06-18T16.47.05.776,2.222,152.439,-87.012,-79.207
1718718425786,2024-06-18T16.47.05.786,2.232,152.866,-83.720,-75.244
1718718425795,2024-06-18T16.47.05.795,2.241,150.854,-78.171,-73.720
1718718425805,2024-06-18T16.47.05.805,2.251,149.817,-69.695,-72.317
1718718425815,2024-06-18T16.47.05.815,2.261,152.134,-57.988,-69.024
1718718425826,2024-06-18T16.47.05.826,2.272,154.756,-44.268,-63.902
1718718425834,2024-06-18T16.47.05.834,2.280,153.049,-34.817,-55.976
1718718425845,2024-06-18T16.47.05.845,2.291,146.220,-32.683,-48.902
1718718425855,2024-06-18T16.47.05.855,2.301,135.915,-37.256,-47.317
1718718425865,2024-06-18T16.47.05.865,2.311,128.232,-45.549,-48.780
1718718425874,2024-06-18T16.47.05.874,2.320,127.378,-51.646,-49.146
1718718425884,2024-06-18T16.47.05.884,2.330,129.146,-49.024,-47.622
1718718425894,2024-06-18T16.47.05.894,2.340,126.768,-37.256,-49.207
1718718425903,2024-06-18T16.47.05.903,2.349,122.500,-21.707,-53.598
1718718425913,2024-06-18T16.47.05.913,2.359,120.732,-8.476,-54.512
1718718425924,2024-06-18T16.47.05.924,2.370,118.476,-1.951,-50.793
1718718425934,2024-06-18T16.47.05.934,2.380,115.061,-2.012,-43.232
1718718425943,2024-06-18T16.47.05.943,2.389,109.390,-3.720,-35.793
1718718425953,2024-06-18T16.47.05.953,2.399,100.671,-3.841,-30.732
1718718425963,2024-06-18T16.47.05.963,2.409,91.768,-3.720,-24.756
1718718425973,2024-06-18T16.47.05.973,2.419,80.915,-4.146,-17.378
1718718425982,2024-06-18T16.47.05.982,2.428,69.024,-1.951,-13.476
1718718425992,2024-06-18T16.47.05.992,2.438,57.378,2.866,-12.195
1718718426003,2024-06-18T16.47.06.003,2.449,48.780,7.195,-9.573
1718718426013,2024-06-18T16.47.06.013,2.459,42.317,10.732,-2.683
1718718426022,2024-06-18T16.47.06.022,2.468,36.829,15.000,6.463
1718718426032,2024-06-18T16.47.06.032,2.478,30.976,19.939,15.122
1718718426042,2024-06-18T16.47.06.042,2.488,20.732,23.902,20.854
1718718426053,2024-06-18T16.47.06.053,2.499,7.744,24.817,22.317
1718718426061,2024-06-18T16.47.06.061,2.507,-1.463,23.415,21.890
1718718426072,2024-06-18T16.47.06.072,2.518,-6.890,22.378,22.134
1718718426082,2024-06-18T16.47.06.082,2.528,-11.402,22.500,24.817
1718718426091,2024-06-18T16.47.06.091,2.537,-17.927,25.732,26.646
1718718426101,2024-06-18T16.47.06.101,2.547,-27.073,31.341,24.695
1718718426111,2024-06-18T16.47.06.111,2.557,-37.256,35.488,22.561
1718718426121,2024-06-18T16.47.06.121,2.567,-45.732,35.244,20.488
1718718426130,2024-06-18T16.47.06.130,2.576,-51.585,31.768,19.695
1718718426140,2024-06-18T16.47.06.140,2.586,-55.061,28.232,18.963
1718718426151,2024-06-18T16.47.06.151,2.597,-57.622,28.232,17.256
1718718426161,2024-06-18T16.47.06.161,2.607,-60.732,32.988,15.488
1718718426170,2024-06-18T16.47.06.170,2.616,-64.268,39.878,15.427
1718718426180,2024-06-18T16.47.06.180,2.626,-67.683,46.037,16.402
1718718426190,2024-06-18T16.47.06.190,2.636,-70.244,49.878,18.841
1718718426201,2024-06-18T16.47.06.201,2.647,-70.793,51.768,22.622
1718718426209,2024-06-18T16.47.06.209,2.655,-69.268,53.476,26.951
1718718426220,2024-06-18T16.47.06.220,2.666,-69.451,57.256,29.451
1718718426230,2024-06-18T16.47.06.230,2.676,-74.085,64.512,29.695
1718718426240,2024-06-18T16.47.06.240,2.686,-80.183,72.195,28.659
1718718426249,2024-06-18T16.47.06.249,2.695,-84.756,75.915,30.732
1718718426259,2024-06-18T16.47.06.259,2.705,-87.622,74.817,36.402
