x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.365,-0.891,0.192,14.512,15.183,-7.622
-0.357,-0.893,0.206,12.988,13.841,-6.402
-0.352,-0.894,0.233,11.829,11.707,-5.61
-0.366,-0.886,0.234,10.854,9.939,-3.659
-0.379,-0.869,0.233,8.841,9.512,-1.89
-0.352,-0.872,0.226,6.829,10.549,-1.037
-0.35,-0.877,0.209,5.305,12.866,-0.244
-0.342,-0.881,0.219,3.171,12.256,-0.976
-0.326,-0.891,0.24,2.317,10.61,-1.524
-0.34,-0.903,0.259,3.171,6.402,-1.89
-0.361,-0.901,0.262,3.72,1.829,-2.866
-0.373,-0.902,0.239,5.0,-1.768,-2.805
-0.352,-0.894,0.229,4.817,-2.683,-3.78
-0.301,-0.893,0.226,4.207,0.671,-4.573
-0.28,-0.903,0.217,4.146,5.671,-4.817
-0.277,-0.911,0.225,4.146,11.037,-5.061
-0.279,-0.913,0.229,4.756,16.22,-4.146
-0.297,-0.901,0.229,5.122,17.744,-3.476
-0.3,-0.893,0.247,4.39,16.159,-4.634
-0.337,-0.898,0.241,4.268,14.695,-4.451
-0.393,-0.896,0.213,3.415,12.378,-5.0
-0.421,-0.894,0.191,1.524,9.695,-6.341
-0.406,-0.897,0.184,-1.341,7.866,-6.707
-0.38,-0.902,0.183,-3.232,6.28,-5.427
-0.334,-0.908,0.241,-3.963,2.5,-6.098
-0.325,-0.908,0.292,-2.683,0.915,-5.732
-0.374,-0.899,0.292,-0.61,-0.427,-4.634
-0.417,-0.894,0.262,0.366,-3.537,-6.098
-0.416,-0.893,0.238,0.793,-4.878,-8.293
-0.385,-0.891,0.229,0.732,-2.927,-9.756
-0.371,-0.9,0.215,0.732,0.488,-9.573
-0.421,-0.905,0.192,0.122,3.963,-7.561
-0.494,-0.896,0.168,-1.28,5.915,-3.354
-0.54,-0.89,0.15,-4.268,8.293,2.622
-0.565,-0.891,0.133,-8.537,13.78,9.817
-0.603,-0.886,0.109,-13.659,24.207,18.415
-0.671,-0.872,0.069,-20.122,39.329,29.451
-0.763,-0.861,0.002,-29.329,55.854,41.768
-0.871,-0.875,-0.077,-40.488,72.317,54.756
-0.96,-0.9,-0.155,-53.11,89.878,68.963
-1.001,-0.918,-0.221,-68.171,108.963,85.0
-1.04,-0.95,-0.243,-82.256,130.061,102.622
-1.145,-0.975,-0.246,-93.841,152.561,122.744
-1.29,-0.993,-0.256,-105.61,174.512,142.622
-1.379,-1.029,-0.291,-118.963,197.683,159.634
-1.397,-1.079,-0.359,-133.78,225.915,174.756
-1.376,-1.127,-0.459,-150.671,255.915,186.524
-1.408,-1.186,-0.576,-170.366,282.805,196.402
-1.489,-1.254,-0.682,-193.598,304.207,203.841
-1.539,-1.334,-0.748,-217.622,317.256,206.768
-1.571,-1.411,-0.789,-239.756,320.061,206.098
-1.574,-1.458,-0.817,-261.402,317.622,204.817
-1.511,-1.461,-0.889,-285.061,306.402,204.085
-1.432,-1.445,-1.024,-308.232,283.293,202.012
-1.436,-1.43,-1.146,-332.622,245.366,200.915
-1.526,-1.427,-1.215,-352.195,194.634,202.073
-1.564,-1.431,-1.219,-366.037,143.354,205.305
-1.516,-1.425,-1.18,-375.305,100.549,210.122
-1.412,-1.415,-1.129,-381.28,70.549,215.671
-1.229,-1.402,-1.012,-385.549,55.671,219.146
-1.013,-1.369,-0.893,-385.732,58.902,222.256
-0.883,-1.289,-0.847,-386.22,71.585,224.573
-0.783,-1.201,-0.776,-386.463,81.829,219.573
-0.732,-1.127,-0.693,-383.354,88.598,214.878
-0.695,-1.021,-0.665,-379.695,89.573,210.366
-0.665,-0.912,-0.665,-376.524,85.0,203.476
-0.643,-0.843,-0.612,-371.829,75.0,195.793
-0.598,-0.798,-0.55,-364.085,63.841,189.024
-0.559,-0.744,-0.568,-356.768,52.439,183.902
-0.501,-0.693,-0.523,-349.939,43.415,175.854
-0.422,-0.676,-0.424,-338.963,42.927,167.866
-0.326,-0.631,-0.309,-326.098,46.402,158.72
-0.271,-0.536,-0.241,-312.134,54.817,148.415
-0.259,-0.429,-0.282,-300.244,63.902,139.451
-0.201,-0.332,-0.305,-290.915,69.268,125.854
-0.133,-0.269,-0.299,-280.122,75.183,112.256
-0.138,-0.223,-0.347,-268.963,77.012,102.378
-0.224,-0.143,-0.358,-260.244,74.146,93.232
-0.241,-0.066,-0.318,-250.793,68.232,83.78
-0.196,0.002,-0.231,-240.549,66.585,74.39
-0.174,0.064,-0.146,-230.183,67.683,66.524
-0.152,0.14,-0.025,-219.085,64.939,58.659
-0.129,0.229,0.14,-206.463,51.951,50.061
-0.164,0.337,0.328,-193.963,25.061,43.049
-0.22,0.427,0.58,-178.537,-13.171,34.939
-0.217,0.469,0.775,-156.646,-47.439,30.671
-0.162,0.517,0.814,-131.951,-71.646,27.378
-0.115,0.528,0.77,-105.244,-78.72,20.915
