x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
-0.659,-0.694,0.328,0.671,3.841,-3.232
-0.669,-0.688,0.33,0.549,3.476,-2.683
-0.667,-0.683,0.334,0.488,2.744,-2.378
-0.655,-0.686,0.332,0.122,1.585,-1.829
-0.658,-0.688,0.326,-0.427,1.22,-1.402
-0.654,-0.691,0.327,-0.549,1.768,-0.854
-0.645,-0.702,0.329,-0.61,1.768,-1.098
-0.642,-0.7,0.328,-0.854,1.159,-1.463
-0.643,-0.698,0.33,-0.488,1.22,-1.707
-0.645,-0.702,0.334,0.061,2.744,-2.134
-0.631,-0.703,0.338,0.671,4.146,-2.5
-0.633,-0.702,0.331,0.61,4.695,-2.5
-0.64,-0.704,0.322,0.366,4.39,-2.134
-0.63,-0.702,0.328,0.0,2.561,-2.5
-0.631,-0.693,0.325,-0.488,0.183,-2.988
-0.646,-0.69,0.314,-0.671,-0.122,-2.866
-0.622,-0.696,0.32,-0.488,0.488,-2.561
-0.619,-0.703,0.323,-0.122,0.305,-2.317
-0.634,-0.708,0.315,-0.122,0.427,-2.012
-0.617,-0.709,0.318,-0.061,-0.061,-2.317
-0.619,-0.709,0.315,-0.244,-1.585,-2.927
-0.634,-0.708,0.318,-0.671,-3.354,-3.232
-0.636,-0.71,0.32,-0.671,-4.207,-2.744
-0.65,-0.718,0.32,-0.793,-3.537,-1.89
-0.643,-0.72,0.319,-0.732,-2.744,-0.915
-0.639,-0.716,0.314,-0.427,-2.622,-0.488
-0.656,-0.716,0.314,-0.183,-1.646,-0.061
-0.643,-0.711,0.328,0.549,-0.061,0.183
-0.628,-0.714,0.333,1.341,1.28,0.122
-0.633,-0.717,0.326,1.951,2.378,0.0
-0.628,-0.715,0.323,1.829,2.195,-0.061
-0.636,-0.713,0.319,1.524,0.732,0.183
-0.651,-0.714,0.318,1.159,-1.037,0.854
-0.645,-0.712,0.312,0.671,-3.049,1.037
-0.648,-0.706,0.316,0.488,-3.659,0.915
-0.638,-0.702,0.322,0.854,-2.927,0.549
-0.62,-0.706,0.318,1.28,-1.22,0.732
-0.614,-0.706,0.318,1.89,0.061,0.915
-0.621,-0.713,0.315,1.89,0.061,1.463
-0.626,-0.71,0.312,1.524,-0.976,1.646
-0.638,-0.703,0.313,1.037,-2.256,1.829
-0.634,-0.703,0.317,0.915,-3.171,1.646
-0.627,-0.704,0.318,0.976,-3.293,1.28
-0.626,-0.709,0.317,1.22,-1.89,1.341
-0.621,-0.71,0.309,1.646,-0.183,1.89
-0.619,-0.712,0.309,1.951,0.61,2.561
-0.626,-0.713,0.311,2.073,0.0,3.171
-0.638,-0.707,0.304,1.585,-0.549,3.72
-0.644,-0.7,0.312,1.22,-0.427,4.39
-0.634,-0.707,0.312,0.976,-0.427,4.634
-0.628,-0.707,0.308,0.671,-1.098,4.207
-0.627,-0.708,0.309,0.549,-1.89,3.841
-0.626,-0.708,0.309,0.305,-1.89,3.963
-0.625,-0.706,0.312,0.183,-1.341,4.817
-0.632,-0.709,0.311,0.122,-0.366,6.646
-0.644,-0.715,0.307,-0.366,0.488,8.72
-0.653,-0.724,0.308,-0.854,1.037,11.28
-0.655,-0.736,0.303,-1.707,1.037,14.756
-0.659,-0.75,0.297,-3.11,0.061,18.415
-0.687,-0.755,0.29,-4.939,-1.768,22.805
-0.696,-0.766,0.286,-7.073,-4.268,28.11
-0.698,-0.778,0.292,-9.451,-7.073,33.598
-0.707,-0.795,0.308,-11.098,-9.695,39.268
-0.715,-0.845,0.318,-11.28,-9.573,46.341
-0.711,-0.916,0.312,-10.671,-5.0,54.39
-0.684,-0.961,0.281,-10.427,2.744,62.561
-0.652,-0.983,0.241,-10.244,10.549,70.183
-0.636,-1.013,0.23,-11.098,16.159,77.744
-0.62,-1.049,0.191,-13.78,16.768,85.0
-0.612,-1.06,0.154,-18.963,11.707,90.183
-0.615,-1.018,0.155,-25.61,2.622,92.256
-0.617,-0.974,0.176,-32.195,-10.122,93.72
-0.622,-1.001,0.178,-36.402,-22.073,95.427
-0.628,-1.052,0.18,-37.134,-25.793,96.829
-0.608,-1.125,0.191,-35.732,-19.695,98.476
-0.57,-1.179,0.183,-32.683,-5.244,100.732
-0.564,-1.199,0.184,-29.024,11.646,102.439
-0.58,-1.215,0.197,-24.634,23.72,103.354
-0.622,-1.25,0.211,-21.585,27.561,103.476
-0.687,-1.253,0.225,-19.451,25.366,101.585
-0.75,-1.217,0.237,-17.012,22.256,99.085
-0.789,-1.181,0.254,-14.695,20.0,97.439
-0.804,-1.148,0.249,-12.5,16.951,96.951
-0.847,-1.11,0.222,-9.817,16.341,96.22
-0.941,-1.092,0.23,-4.695,20.0,93.232
-0.918,-1.116,0.237,-0.183,22.5,90.671
-0.889,-1.078,0.238,2.5,19.939,85.183
-0.932,-0.976,0.262,4.146,12.927,76.159
-0.958,-0.873,0.292,5.122,3.049,66.159
-0.969,-0.766,0.275,5.854,-7.378,56.098
-0.96,-0.702,0.263,5.305,-13.72,45.671
-0.98,-0.639,0.256,3.841,-16.524,35.427
-0.929,-0.583,0.214,2.744,-14.146,27.195
-0.922,-0.525,0.227,1.768,-8.659,18.476
-0.946,-0.49,0.259,1.22,-6.585,7.683
-0.945,-0.475,0.222,1.585,-7.927,-2.378
-1.04,-0.43,0.197,2.378,-5.854,-11.28
-1.11,-0.398,0.197,4.451,-1.524,-19.939
-1.115,-0.409,0.155,9.573,5.305,-27.805
-1.09,-0.387,0.132,11.707,15.671,-34.512
-1.037,-0.285,0.155,10.976,27.073,-41.524
-1.062,-0.159,0.172,11.89,32.622,-46.829
-1.062,-0.055,0.148,14.146,27.134,-49.024
-0.992,0.064,0.153,14.573,17.866,-50.366
-0.961,0.241,0.215,13.476,12.439,-54.39
-0.841,0.386,0.237,12.134,14.39,-57.805
-0.756,0.479,0.231,13.476,22.927,-59.085
-0.696,0.485,0.247,18.537,34.268,-55.244
-0.645,0.44,0.302,24.695,38.963,-49.024
-0.594,0.426,0.35,29.085,36.829,-43.354
-0.604,0.454,0.403,32.927,32.256,-39.085
-0.612,0.453,0.413,36.646,29.451,-34.268
-0.564,0.444,0.375,38.72,28.415,-28.476
-0.53,0.416,0.338,40.061,27.073,-21.159
-0.52,0.358,0.355,37.866,24.573,-16.89
-0.518,0.357,0.405,34.146,18.72,-15.122
-0.521,0.316,0.442,32.317,10.122,-13.171
-0.578,0.218,0.449,31.341,4.756,-10.61
-0.628,0.131,0.44,29.939,8.354,-9.024
-0.643,0.073,0.421,29.329,15.915,-7.988
-0.619,0.017,0.374,28.537,20.305,-5.183
-0.617,-0.059,0.336,27.134,20.061,-3.293
-0.733,-0.149,0.332,24.634,17.805,-1.402
-0.812,-0.226,0.296,19.024,11.89,0.183
-0.854,-0.255,0.258,12.378,1.646,1.585
-0.963,-0.292,0.258,5.244,-6.463,4.085
-1.026,-0.305,0.273,-3.598,-8.293,7.622
-0.991,-0.288,0.273,-12.256,-8.415,10.061
-0.92,-0.292,0.303,-16.22,-12.073,8.11
-0.854,-0.33,0.343,-15.732,-17.561,7.683
-0.846,-0.382,0.293,-13.049,-17.988,8.598
-0.89,-0.404,0.273,-9.085,-11.159,11.463
-0.885,-0.408,0.339,-6.768,-7.195,13.841
-0.933,-0.345,0.377,-6.768,-12.012,15.793
-0.964,-0.284,0.356,-9.634,-19.695,17.744
-0.906,-0.225,0.353,-14.146,-26.829,18.415
-0.818,-0.143,0.376,-19.329,-32.134,19.085
-0.72,-0.059,0.395,-24.329,-32.866,17.561
-0.6,0.018,0.422,-27.012,-28.354,14.207
-0.453,0.048,0.431,-26.098,-21.768,12.195
-0.329,0.059,0.381,-22.317,-15.61,11.707
-0.32,0.075,0.351,-18.598,-7.378,9.512
-0.396,0.098,0.388,-17.195,-3.354,5.244
-0.547,0.11,0.399,-16.098,-7.927,4.085
-0.725,0.083,0.408,-16.159,-17.073,5.549
-0.871,0.07,0.428,-16.951,-28.415,9.146
-0.933,0.063,0.415,-17.683,-36.341,14.634
-0.917,0.07,0.335,-18.598,-37.744,20.976
-0.863,0.099,0.244,-18.841,-32.561,25.244
-0.801,0.093,0.188,-18.537,-22.622,26.707
-0.713,0.057,0.189,-18.902,-13.293,25.305
-0.725,0.03,0.211,-21.768,-13.476,20.793
-0.88,0.017,0.216,-23.293,-22.927,15.0
-1.069,-0.05,0.234,-21.098,-25.305,13.171
-1.088,-0.136,0.287,-20.122,-16.951,15.0
-1.061,-0.153,0.273,-17.317,-7.012,16.402
-1.042,-0.19,0.195,-12.744,-0.671,15.854
-1.006,-0.284,0.127,-9.878,-2.195,13.476
-1.016,-0.357,0.103,-8.537,-8.293,8.049
-1.045,-0.38,0.129,-9.634,-14.756,1.707
-1.056,-0.378,0.142,-12.256,-24.451,-3.963
-1.013,-0.375,0.153,-14.695,-37.134,-9.451
-1.006,-0.362,0.177,-17.012,-43.72,-17.012
-1.043,-0.367,0.228,-16.463,-35.976,-24.146
-1.058,-0.47,0.232,-11.402,-18.72,-28.598
-0.969,-0.614,0.188,-4.329,4.085,-32.622
-0.861,-0.661,0.186,2.683,29.695,-35.854
-0.822,-0.663,0.197,6.89,45.793,-39.817
-0.826,-0.644,0.177,5.0,31.829,-43.841
-0.928,-0.606,0.145,0.732,-11.402,-49.939
-1.151,-0.617,0.164,-3.537,-60.122,-54.329
-1.2,-0.69,0.234,-9.573,-88.963,-52.744
-1.078,-0.712,0.243,-13.598,-91.89,-51.159
-0.97,-0.712,0.172,-12.622,-74.207,-52.317
-0.83,-0.777,0.141,-9.085,-42.317,-54.512
-0.705,-0.828,0.176,-5.427,-10.061,-59.451
-0.652,-0.843,0.221,-0.61,13.293,-64.756
-0.673,-0.887,0.259,5.366,25.61,-68.72
-0.684,-0.956,0.263,10.183,26.89,-71.22
-0.724,-0.977,0.26,13.902,20.366,-74.085
-0.776,-0.97,0.282,16.159,12.5,-76.037
-0.772,-0.956,0.305,17.683,5.976,-76.037
-0.753,-0.936,0.304,18.963,2.012,-76.22
-0.706,-0.925,0.292,18.963,1.159,-77.561
-0.663,-0.9,0.286,17.622,0.915,-80.122
-0.664,-0.894,0.278,17.805,1.89,-82.927
-0.631,-0.937,0.299,18.232,4.817,-82.622
-0.6,-0.979,0.302,18.841,7.378,-81.646
-0.617,-1.006,0.314,20.0,9.573,-80.549
-0.652,-1.02,0.326,22.256,11.037,-77.927
